Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1989421,Olive Mediterranean Grill,Olive Mediterranean Grill,2469894,Restaurant,Risk 1 (High),23 E ADAMS ST ,CHICAGO,IL,60603,2/21/2017,Canvass,Pass,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED CLUTTER IN THE REAR PREP AREA BY THE ICE MACHINE. INSTRUCTED TO REMOVE ALL EXCESS ITEMS. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: OBSERVED SERVING UTENSILS STORED IN BOWLS OF WATER. INSTRUCTED TO STORE ALL UTENSILS ON A CLEAN DRY SURFACE.  | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: OBSERVED SMALL CONTAINERS OF SAUCES UNLABELED IN THE FRONT COOLER FOR CUSTOMERS TO GRAB. IMNSTRUCTED TO LABEL ALL FOOD ITEMS.",41.87939131,-87.62684826,"(41.879391313239694, -87.62684825563626)"
1989400,"SODEXHO AMERICA, LLC / KATE KELLOGG",WIEBOLDT HALL CAFE,2495875,Restaurant,Risk 3 (Low),340 E SUPERIOR ST ,CHICAGO,IL,60611,2/21/2017,License,Pass,,41.89593592,-87.61887289,"(41.89593592113233, -87.61887289052693)"
1989398,"SODEXHO AMERICA, LLC / KATE KELLOGG",WIEBOLDT HALL CAFE,2495874,Restaurant,Risk 3 (Low),340 E SUPERIOR ST ,CHICAGO,IL,60611,2/21/2017,License,Pass,,41.89593592,-87.61887289,"(41.89593592113233, -87.61887289052693)"
1989387,LA PENA RESTAURANTE,LA PENA RESTAURANTE,1120265,Restaurant,Risk 1 (High),4212-4214 N MILWAUKEE AVE ,CHICAGO,IL,60641,2/21/2017,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RUSTED INTERIOR BOTTOM OF THE REACH IN COOLER WITH BEER BEHIND THE BAR. MUST REMOVE RUST AND MAINTAIN.",41.9573322,-87.75179742,"(41.95733219749337, -87.75179741856313)"
1989384,BASKIN ROBBINS,BASKIN ROBBINS,1332646,Restaurant,Risk 2 (Medium),31 E ADAMS ST ,CHICAGO,IL,60603,2/21/2017,Complaint Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: VIOLATION CORRECTED BY THE FACILITY PROVIDING WEATHER STRIPPING TO SEAL THE OPENINGS AT THE BOTTOM OF THE FRONT ROTATING DOORS.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: VIOLATION CORRECTED",41.87939908,-87.62655911,"(41.879399079856356, -87.62655910577415)"
1754211,VON STEUBEN METROPOLITAN  SCIENCE CENTER (H/S),VON STEUBEN METROPOLITAN H/S,47081,School,Risk 1 (High),5039 N Kimball AVE ,CHICAGO,IL,60625,2/21/2017,Canvass,Pass w/ Conditions,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO CLEAN UPPER PANEL OF ICE MAKER AND REMOVE DUSTS ACCUMULATIONS ON FAN COVERS INSIDE THE WALK-IN-COOLERS AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE AT WATER LINE FOR ICE MAKER AND MISSING HANDLE TO ONE WASHBOWL SINK INSIDE THE WOMENS TOILET ROOM AT THE 3RD FLOOR.INSTRUCTED TO INSTALL BACKFLOW PREVENTION DEVICE AND PLUMBING HANDLE TO SAID WASHBOWL SINK AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED DUSTS ACCUMULATIONS AT KITCHEN HOOD/FILTERS AND AT SERVING LINE HOT HOLDING EQUIPMENTS ALSO,AT KITCHEN WINDOW EXHAUST FAN.INSTRUCTED TO DETAIL CLEAN ALL VENTS AND MAINTAIN. | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FACILITIES DO NOT MAINTAIN PROPER TEMPERATURE. OBSERVED (1) MILK  COOLER AT SERVING LINE WITH AN AIR TEMPERATURE OF 56.5F. 
NO POTENTIALLY HAZARDOUS FOODS IN UNIT.THE SAID COOLER IS TAGGED HELD FOR INSPECTION AT THIS TIME OF INSPECTION.ALL COLD HOLDING EQUIPMENTS MUST MAINTAIN COLD FOODS AT 40F OR BELOW AT ALL TIMES. 
CRITICAL VIOLATION 7-38-005(A). 
 ",41.9731926,-87.71334969,"(41.973192597196245, -87.71334968898196)"
1989375,UNCLE TANNOUS RESTAURANT,UNCLE TANNOUS RESTAURANT,8409,,Risk 3 (Low),2626 N HALSTED ST ,CHICAGO,IL,60614,2/17/2017,Canvass,Out of Business,,41.92987483,-87.64906308,"(41.92987482778299, -87.64906307893797)"
1989377,GARDEN TERRACE,GARDEN TERRACE,1167172,Restaurant,Risk 1 (High),6328-30 W IRVING PARK RD ,CHICAGO,IL,60634,2/17/2017,Canvass,No Entry,,41.95304196,-87.78530049,"(41.95304195595626, -87.7853004907991)"
1989371,"PANADERIA GUATEMALTECA, INC.",PANADERIA GUATEMALTECA,1985216,Bakery,Risk 1 (High),4363 N MILWAUKEE AVE ,CHICAGO,IL,60641,2/17/2017,Canvass,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: LABEL ALL PRE PACKAGED BREAD, PASTRIES, SWEET ROLL,RAW BEANS FOR SALE WITH COMPANY'S NAME, ADDRESS, INGREDIENTS, NAME OF THE PRODUCT. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: ALL CLEAN UTENSILS, POTS.PANS, TRAYS MUST BE STORED UPSIDE/DOWN,INVERTED TO PREVENT POSSIBLE CONTAMINATION AND DUST BUILD-UP. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RUBBER GASKET OF THE 2 DOOR REACH COOLER BROKEN,RIPPED OFF. MUST REPAIR AND MAINTAIN.

DEFROST THE SMALL CHEST FREEZER WITH HEAVY ICE BUILD-UP AND MAINTAIN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR TILES INSIDE THE WASHROOM BROKEN/CRACKED. MUST REPAIR TO HAVE A SMOOTH EASILY CLEANABLE FLOOR. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: NO FOOD HANDLERS CERTIFICATE AT THIS TIME. MUST PROVIDE NEXT ROUTINE INSPECTION.",41.96045577,-87.75414848,"(41.96045577105616, -87.75414848044049)"
1989365,ALBANY PARK FRESH MARKET INC,SUPER MERCADO EL PUEBLO,2516522,Grocery Store,Risk 1 (High),3632-3638 W LAWRENCE AVE ,CHICAGO,IL,60625,2/17/2017,License,Not Ready,,41.9684434,-87.71961714,"(41.96844340428086, -87.7196171371822)"
